DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, BALANCING, COST_SENSITIVE, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
bookkeeper,2,56.011315417256014,Naive Bayes,Best First,None,None,0.8774104683195593,0.9578947368421052,0.6613149540517962,0.21527313506868814,1274.0,178.0,47.0,56.0
bookkeeper,3,69.4499017681729,Naive Bayes,Best First,None,None,0.7272113436866982,0.9746606334841629,0.6953162393162393,0.10218919569110678,1077.0,404.0,46.0,28.0
bookkeeper,4,76.48384673178062,Naive Bayes,Best First,None,None,0.7640613586559533,0.9552511415525115,0.7297891771106577,0.321508070625255,1046.0,323.0,147.0,49.0
bookkeeper,5,75.11286681715576,Naive Bayes,Best First,None,None,0.4127272727272727,0.7608938547486034,0.536942300311314,0.01870044860762356,681.0,969.0,341.0,214.0
bookkeeper,6,80.10849909584087,Naive Bayes,Best First,None,None,0.47582872928176795,0.6994923857868021,0.550793173319964,0.07161485416233353,689.0,759.0,456.0,296.0
bookkeeper,1,44.44444444444444,IBk,Best First,None,None,0.9137785291631445,0.9145516074450084,0.6980952205792197,0.17598435366618675,1081.0,102.0,36.0,101.0
bookkeeper,2,56.011315417256014,IBk,Best First,None,None,0.8777393310265282,0.9536340852130326,0.6586837464030446,0.2138551554683496,1522.0,212.0,58.0,74.0
bookkeeper,3,69.4499017681729,IBk,Best First,None,None,0.7332576617480137,0.9743589743589743,0.7070338249259818,0.13670110814919256,1292.0,470.0,70.0,34.0
bookkeeper,4,76.48384673178062,IBk,Best First,None,None,0.7846829880728186,0.9512937595129376,0.7713170763301921,0.3995437341214289,1250.0,343.0,221.0,64.0
bookkeeper,5,75.11286681715576,IBk,Best First,None,None,0.41783567134268534,0.776536312849162,0.537185013812482,0.03287960932391889,834.0,1162.0,410.0,240.0
bookkeeper,6,80.10849909584087,IBk,Best First,None,None,0.47068403908794787,0.733502538071066,0.5415375581133556,0.06152655701275765,867.0,975.0,483.0,315.0
bookkeeper,1,44.44444444444444,Random Forest,None,Undersampling,None,0.9119359534206696,0.9086294416243654,0.7012778185650778,0.15495148046777796,1253.0,121.0,40.0,126.0
bookkeeper,2,56.011315417256014,Random Forest,None,Undersampling,None,0.8807291666666667,0.9081632653061225,0.6633445859546826,0.1961851100399324,1691.0,229.0,86.0,171.0
