DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, BALANCING, COST_SENSITIVE, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
syncope,3,74.97441146366428,Naive Bayes,None,None,None,0.9347826086956522,0.9966887417218543,0.8732064017660044,0.19740376007161964,903.0,63.0,9.0,3.0
syncope,4,79.98362668849775,Naive Bayes,None,None,None,0.9635193133047211,0.9911699779249448,0.9606788079470199,0.6223938223938227,898.0,34.0,38.0,8.0
syncope,5,83.26516700749829,Naive Bayes,None,None,None,0.820675105485232,0.9948849104859335,0.718618925831202,0.20963235702259145,778.0,170.0,30.0,4.0
syncope,6,85.4895104895105,Naive Bayes,None,None,None,0.8683914510686164,0.9821882951653944,0.8757906215921483,0.5181689267038909,772.0,117.0,93.0,14.0
syncope,7,87.32824427480917,Naive Bayes,None,None,None,0.834619625137817,0.9755154639175257,0.8526446813495783,0.3733377015978913,757.0,150.0,70.0,19.0
syncope,8,83.26271186440678,Naive Bayes,None,None,None,0.9870828848223897,0.5970052083333334,0.6551328716856061,0.04211327309831162,917.0,12.0,32.0,619.0
syncope,9,87.99403430275913,Naive Bayes,None,None,None,0.9722675367047309,0.9612903225806452,0.7146085349462366,0.22185547565719715,1192.0,34.0,14.0,48.0
syncope,10,89.25124792013311,Naive Bayes,None,None,None,0.9664710813076278,0.9435351882160393,0.8037058685994857,0.31131411134149733,1153.0,40.0,30.0,69.0
syncope,11,90.25379186063974,Naive Bayes,None,None,None,0.9437400950871633,0.984297520661157,0.7884673178061608,0.2444507683551515,1191.0,71.0,17.0,19.0
syncope,12,91.06947483588621,Naive Bayes,None,None,None,0.900398406374502,0.9809027777777778,0.6883314168470418,0.23823317012006895,1130.0,125.0,29.0,22.0
syncope,13,91.77858667001381,Naive Bayes,None,None,None,0.8804523424878837,0.983754512635379,0.8388765771884048,0.34073463250184943,1090.0,148.0,54.0,18.0
syncope,14,92.26404169079328,Naive Bayes,None,None,None,0.8330618892508144,0.9874517374517374,0.7578474903474903,0.3935971750283161,1023.0,205.0,95.0,13.0
syncope,15,92.81952058475761,Naive Bayes,None,None,None,0.8215767634854771,0.9782608695652174,0.760032389108476,0.3945758252516292,990.0,215.0,109.0,22.0
syncope,16,93.93174474959612,Naive Bayes,None,None,None,0.8435438265786993,0.9303534303534303,0.7638145356895357,0.2824009306091491,895.0,166.0,74.0,67.0
syncope,17,92.5693990092532,Naive Bayes,None,None,None,0.982078853046595,0.8815958815958816,0.5984287859287859,0.059278131634819375,1370.0,25.0,11.0,184.0
syncope,18,92.94587785596386,Naive Bayes,None,None,None,0.9435736677115988,0.9836601307189542,0.6349221248783201,0.038805970149254965,1505.0,90.0,4.0,25.0
syncope,19,93.36523643442291,Naive Bayes,None,None,None,0.9443390259329538,0.9822368421052632,0.8216623185117967,0.29534524861795713,1493.0,88.0,28.0,27.0
syncope,20,93.7637843181991,Naive Bayes,None,None,None,0.9225967540574282,0.9879679144385026,0.7560671048722519,0.19008402426130994,1478.0,124.0,20.0,18.0
syncope,21,94.12985897344119,Naive Bayes,None,None,None,0.9247588424437299,0.9755766621438263,0.8112545160288372,0.34557404412915377,1438.0,117.0,49.0,36.0
syncope,22,94.44895199459094,Naive Bayes,None,None,None,0.9046988749172733,0.9427586206896552,0.7185039511494253,0.22357112206339994,1367.0,144.0,48.0,83.0
syncope,23,94.70448869821348,Naive Bayes,None,None,None,0.9098518995492595,0.9731404958677686,0.8037394648555765,0.35687877695185066,1413.0,140.0,62.0,39.0
syncope,24,94.96503496503496,Naive Bayes,None,None,None,0.9284818067754078,0.9840425531914894,0.7521521556550952,0.3189165991130604,1480.0,114.0,38.0,24.0
syncope,1,50.0,IBk,None,None,None,0.9767123287671233,0.9985994397759104,0.7376575630252101,0.09555189456342421,1426.0,34.0,2.0,2.0
syncope,2,66.62116040955631,IBk,None,None,None,0.9642105263157895,0.9807280513918629,0.7390067700560206,0.251589357193314,1374.0,51.0,15.0,27.0
syncope,3,74.97441146366428,IBk,None,None,None,0.9325533379215416,0.9970566593083149,0.838518245986973,0.14956521739130485,1355.0,98.0,10.0,4.0
syncope,4,79.98362668849775,IBk,None,None,None,0.966284074605452,0.9911699779249448,0.9357575014307906,0.6534539295881228,1347.0,47.0,61.0,12.0
syncope,5,83.26516700749829,IBk,None,None,None,0.8196491228070175,0.9957374254049446,0.7127522023302074,0.2023091995932237,1168.0,257.0,43.0,5.0
syncope,6,85.4895104895105,IBk,None,None,None,0.8538913362701909,0.9864291772688719,0.7678393042260727,0.45060189033588854,1163.0,199.0,116.0,16.0
syncope,7,87.32824427480917,IBk,None,None,None,0.8402366863905325,0.9759450171821306,0.8314706341768198,0.4038152058719628,1136.0,216.0,114.0,28.0
syncope,8,83.26271186440678,IBk,None,None,None,0.985981308411215,0.6410590277777778,0.6508772622053872,0.04658351502593028,1477.0,21.0,45.0,827.0
syncope,9,87.99403430275913,IBk,None,None,None,0.9703982777179763,0.9693548387096774,0.6199223416965353,0.20275886462109816,1803.0,55.0,17.0,57.0
syncope,10,89.25124792013311,IBk,None,None,None,0.9633879781420766,0.9618112384069831,0.7316057464993635,0.3194143250434493,1763.0,67.0,38.0,70.0
syncope,11,90.25379186063974,IBk,None,None,None,0.9414556962025317,0.9834710743801653,0.7080515902829952,0.19924920589084605,1785.0,111.0,21.0,30.0
syncope,12,91.06947483588621,IBk,None,None,None,0.8987875593041644,0.9866898148148148,0.6620195005611672,0.22766955842469738,1705.0,192.0,39.0,23.0
syncope,13,91.77858667001381,IBk,None,None,None,0.8922908693275013,0.9819494584837545,0.8106520038285417,0.4282951325204849,1632.0,197.0,106.0,30.0
syncope,14,92.26404169079328,IBk,None,None,None,0.8375550660792952,0.9787644787644788,0.7315758615758616,0.4074811241156999,1521.0,295.0,155.0,33.0
syncope,15,92.81952058475761,IBk,None,None,None,0.8226164079822617,0.9776021080368906,0.7362093831498018,0.39897521400540864,1484.0,320.0,166.0,34.0
syncope,16,93.93174474959612,IBk,None,None,None,0.846875,0.939015939015939,0.7638946638946639,0.30903560590105783,1355.0,245.0,115.0,88.0
syncope,17,92.5693990092532,IBk,None,None,None,0.9816729323308271,0.8961818961818961,0.5892281170058948,0.061337938510796566,2089.0,39.0,15.0,242.0
syncope,18,92.94587785596386,IBk,None,None,None,0.9432534678436317,0.9777777777777777,0.614295647336949,0.028220669420530368,2244.0,135.0,6.0,51.0
syncope,19,93.36523643442291,IBk,None,None,None,0.943061999156474,0.980701754385965,0.750276013309135,0.27007248327500755,2236.0,135.0,39.0,44.0
syncope,20,93.7637843181991,IBk,None,None,None,0.9255852842809364,0.9866310160427807,0.7462936142470457,0.23545865308757066,2214.0,178.0,38.0,30.0
syncope,21,94.12985897344119,IBk,None,None,None,0.9302325581395349,0.9769335142469471,0.8160402805250854,0.40679002282360627,2160.0,162.0,87.0,51.0
syncope,22,94.44895199459094,IBk,None,None,None,0.9055187637969095,0.9429885057471264,0.6887196679438059,0.23128618521288674,2051.0,214.0,74.0,124.0
syncope,23,94.70448869821348,IBk,None,None,None,0.9135695764909249,0.970615243342516,0.7810925031897129,0.38491531344730073,2114.0,200.0,103.0,64.0
syncope,24,94.96503496503496,IBk,None,None,None,0.933529659234329,0.9835992907801419,0.7511693962299365,0.38165413073116927,2219.0,158.0,70.0,37.0
syncope,1,50.0,Random Forest,Best First,None,None,0.9763860369609856,0.9989495798319328,0.6938408175770309,0.07341772151898636,1902.0,46.0,2.0,2.0
syncope,2,66.62116040955631,Random Forest,Best First,None,None,0.9636650868878357,0.9796573875802997,0.6883638310297839,0.23501030746962492,1830.0,69.0,19.0,38.0
syncope,3,74.97441146366428,Random Forest,Best First,None,None,0.9309989701338826,0.9977924944812362,0.7582379047093452,0.11503658824455054,1808.0,134.0,10.0,4.0
syncope,4,79.98362668849775,Random Forest,Best First,None,None,0.9630225080385852,0.9917218543046358,0.9506875459896983,0.6194764048691014,1797.0,69.0,75.0,15.0
syncope,5,83.26516700749829,Random Forest,Best First,None,None,0.8219756999471738,0.9948849104859335,0.6797618286445013,0.21959725607087405,1556.0,337.0,63.0,8.0
syncope,6,85.4895104895105,Random Forest,Best First,None,None,0.861188228761799,0.9866412213740458,0.8223032533624137,0.4891205596438629,1551.0,250.0,170.0,21.0
syncope,7,87.32824427480917,Random Forest,Best First,None,None,0.8434540389972145,0.9755154639175257,0.8424540182755389,0.4199703526284658,1514.0,281.0,159.0,38.0
syncope,8,83.26271186440678,Random Forest,Best First,None,None,0.9855351976856316,0.6653645833333334,0.6581494880445076,0.049854719237537384,2044.0,30.0,58.0,1028.0
syncope,9,87.99403430275913,Random Forest,Best First,None,None,0.969758064516129,0.969758064516129,0.6674227150537635,0.1885080645161292,2405.0,75.0,21.0,75.0
syncope,10,89.25124792013311,Random Forest,Best First,None,None,0.9610547667342799,0.9693126022913257,0.7584931026420388,0.3051753635585974,2369.0,96.0,44.0,75.0
syncope,11,90.25379186063974,Random Forest,Best First,None,None,0.9428798095993653,0.9822314049586777,0.7392867205108941,0.22352030403265533,2377.0,144.0,32.0,43.0
syncope,12,91.06947483588621,Random Forest,Best First,None,None,0.8996840442338072,0.9887152777777778,0.6702185076208513,0.24146628831250763,2278.0,254.0,54.0,26.0
syncope,13,91.77858667001381,Random Forest,Best First,None,None,0.8918695831613702,0.9751805054151624,0.8094014726382386,0.41323005360862014,2161.0,262.0,142.0,55.0
syncope,14,92.26404169079328,Random Forest,Best First,None,None,0.8270401948842875,0.9831081081081081,0.7318303571428572,0.35536892521016833,2037.0,426.0,174.0,35.0
syncope,15,92.81952058475761,Random Forest,Best First,None,None,0.8253568429890848,0.9713438735177866,0.7554359262919046,0.40552434738201815,1966.0,416.0,232.0,58.0
syncope,16,93.93174474959612,Random Forest,Best First,None,None,0.8589622641509433,0.9464656964656964,0.7989274731462231,0.38209839285531616,1821.0,299.0,181.0,103.0
syncope,17,92.5693990092532,Random Forest,Best First,None,None,0.9816189466242489,0.8935006435006435,0.6181337587587588,0.05921229480084864,2777.0,52.0,20.0,331.0
syncope,18,92.94587785596386,Random Forest,Best First,None,None,0.9437283872995913,0.9810457516339869,0.6175436309275483,0.041432143533138746,3002.0,179.0,9.0,58.0
syncope,19,93.36523643442291,Random Forest,Best First,None,None,0.9422348484848485,0.9819078947368421,0.7727356510889292,0.2591481977593759,2985.0,183.0,49.0,55.0
syncope,20,93.7637843181991,Random Forest,Best First,None,None,0.9269291338582677,0.9836229946524064,0.7418097565730838,0.249788370124373,2943.0,232.0,56.0,49.0
